time_bin,rtt,time_bin_mid
"[0, 1)",0.1027514285714284,0.5
"[1, 2)",0.1631876258992734,1.5
"[2, 3)",0.168434864864857,2.5
"[3, 4)",0.12811652892562622,3.5
"[4, 5)",0.16471633720931078,4.5
"[5, 6)",0.13011734374999806,5.5
"[6, 7)",0.0863904234527746,6.5
"[8, 9)",0.10275142857143063,8.5
"[9, 10)",0.11492540983606733,9.5
"[11, 12)",0.13286550458717064,11.5
"[12, 13)",0.1788407563025155,12.5
"[13, 14)",0.15180976190476544,13.5
"[15, 16)",0.07880681818183007,15.5
"[16, 17)",0.1612192546584052,16.5
"[17, 18)",0.16213068571429068,17.5
"[19, 20)",0.10469999999999544,19.5
"[20, 21)",0.13945956953642857,20.5
"[21, 22)",0.13857628787879242,21.5
"[23, 24)",0.10469999999999544,23.5
"[24, 25)",0.10531977556110206,24.5
"[26, 27)",0.10469999999999544,26.5
"[27, 28)",0.10203800982801448,27.5
"[28, 29)",0.1275275862068788,28.5
"[29, 30)",0.16015360465116749,29.5
"[30, 31)",0.1627755333333558,30.5
"[31, 32)",0.0762355999999923,31.5
"[32, 33)",0.1690082775119445,32.5
"[33, 34)",0.10470000000001534,33.5
"[34, 35)",0.09665026119403601,34.5
"[36, 37)",0.07476747211898598,36.5
"[37, 38)",0.09170811059906234,37.5
"[38, 39)",0.1644639024390733,38.5
"[39, 40)",0.16649145695361803,39.5
"[40, 41)",0.10470000000001534,40.5
"[41, 42)",0.15789893939395022,41.5
"[42, 43)",0.15103620967746084,42.5
"[43, 44)",0.1647766826922915,43.5
"[44, 45)",0.10577356164386185,44.5
"[45, 46)",0.06651999999989044,45.5
"[46, 47)",0.14246168604654968,46.5
"[47, 48)",0.1666723076922326,47.5
"[48, 49)",0.13829975155283486,48.5
"[49, 50)",0.16384144927533212,49.5
"[50, 51)",0.10342183760686792,50.5
"[51, 52)",0.06788563829782368,51.5
"[52, 53)",0.1027514285714385,52.5
"[53, 54)",0.1463311567164251,53.5
"[56, 57)",0.14099955357143537,56.5
"[58, 59)",0.10470000000001534,58.5
"[59, 60)",0.13104224489796137,59.5
"[63, 64)",0.10610573498970224,63.5
"[64, 65)",0.11332618343203049,64.5
"[66, 67)",0.10275142857140704,66.5
"[67, 68)",0.14443878947367764,67.5
"[68, 69)",0.08797053864168514,68.5
"[69, 70)",0.10469999999996844,69.5
"[70, 71)",0.12879141732283508,70.5
"[71, 72)",0.10469999999996844,71.5
"[72, 73)",0.11693399999999796,72.5
"[73, 74)",0.1360906976743178,73.5
"[74, 75)",0.17751954545459092,74.5
"[75, 76)",0.12073433734939501,75.5
