time,Router_0_load,Router_1_load,Router_2_load
0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.5,1.0,0.0,0.0
0.6,1.0,0.0,0.0
0.6,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.6001299999999999,1.0,,
0.6001299999999999,1.0,,
0.6001299999999999,0.0,,
0.6001299999999999,0.0,,
0.6032299999999999,1.0,,
0.6032299999999999,1.0,,
0.6032299999999999,0.0,,
0.6032299999999999,0.0,,
0.6033599999999999,1.0,,
0.6033899999999999,2.0,,
0.6033899999999999,2.0,,
0.6033899999999999,1.0,,
0.6033899999999999,1.0,,
0.6064899999999999,2.0,,
0.6064899999999999,2.0,,
0.6064899999999999,1.0,,
0.6064899999999999,1.0,,
0.6095899999999999,2.0,,
0.6095899999999999,2.0,,
0.6095899999999999,1.0,,
0.6095899999999999,1.0,,
0.6097199999999998,2.0,,
0.6097499999999998,3.0,,
0.6097499999999998,3.0,,
0.6097499999999998,2.0,,
0.6097499999999998,2.0,,
0.6098799999999998,3.0,,
0.6099099999999997,4.0,,
0.6099099999999997,4.0,,
0.6099099999999997,3.0,,
0.6099099999999997,3.0,,
0.6130099999999997,4.0,,
0.6130099999999997,4.0,,
0.6130099999999997,3.0,,
0.6130099999999997,3.0,,
0.6161099999999997,4.0,,
0.6161099999999997,4.0,,
0.6161099999999997,3.0,,
0.6161099999999997,3.0,,
0.6192099999999997,4.0,,
0.6192099999999997,4.0,,
0.6192099999999997,3.0,,
0.6192099999999997,3.0,,
0.6223099999999997,4.0,,
0.6223099999999997,4.0,,
0.6223099999999997,3.0,,
0.6223099999999997,3.0,,
0.6224399999999997,4.0,,
0.6224699999999996,5.0,,
0.6224699999999996,5.0,,
0.6224699999999996,4.0,,
0.6224699999999996,4.0,,
0.6225999999999996,5.0,,
0.6226299999999996,6.0,,
0.6226299999999996,6.0,,
0.6226299999999996,5.0,,
0.6226299999999996,5.0,,
0.6227599999999995,6.0,,
0.6227899999999995,7.0,,
0.6227899999999995,7.0,,
0.6227899999999995,6.0,,
0.6227899999999995,6.0,,
0.6229199999999995,7.0,,
0.6229499999999994,8.0,,
0.6229499999999994,8.0,,
0.6229499999999994,7.0,,
0.6229499999999994,7.0,,
0.6260499999999994,8.0,,
0.6260499999999994,8.0,,
0.6260499999999994,7.0,,
0.6260499999999994,7.0,,
0.6291499999999994,8.0,,
0.6291499999999994,8.0,,
0.6291499999999994,7.0,,
0.6291499999999994,7.0,,
0.6322499999999994,8.0,,
0.6322499999999994,8.0,,
0.6322499999999994,7.0,,
0.6322499999999994,7.0,,
0.6353499999999994,8.0,,
0.6353499999999994,8.0,,
0.6353499999999994,7.0,,
0.6353499999999994,7.0,,
0.6384499999999994,8.0,,
0.6384499999999994,8.0,,
0.6384499999999994,7.0,,
0.6384499999999994,7.0,,
0.6415499999999994,8.0,,
0.6415499999999994,8.0,,
0.6415499999999994,7.0,,
0.6415499999999994,7.0,,
0.6446499999999994,8.0,,
0.6446499999999994,8.0,,
0.6446499999999994,7.0,,
0.6446499999999994,7.0,,
0.6477499999999994,8.0,,
0.6477499999999994,8.0,,
0.6477499999999994,7.0,,
0.6477499999999994,7.0,,
0.6478799999999993,8.0,,
0.6479099999999993,9.0,,
0.6479099999999993,9.0,,
0.6479099999999993,8.0,,
0.6479099999999993,8.0,,
0.6480399999999993,9.0,,
0.6480699999999993,10.0,,
0.6480699999999993,10.0,,
0.6480699999999993,9.0,,
0.6480699999999993,9.0,,
0.6481999999999992,10.0,,
0.6482299999999992,11.0,,
0.6482299999999992,11.0,,
0.6482299999999992,10.0,,
0.6482299999999992,10.0,,
0.6483599999999992,11.0,,
0.6483899999999991,12.0,,
0.6483899999999991,12.0,,
0.6483899999999991,11.0,,
0.6483899999999991,11.0,,
0.6485199999999991,12.0,,
0.6485499999999991,13.0,,
0.6485499999999991,13.0,,
0.6485499999999991,12.0,,
0.6485499999999991,12.0,,
0.648679999999999,13.0,,
0.648709999999999,14.0,,
0.648709999999999,14.0,,
0.648709999999999,13.0,,
0.648709999999999,13.0,,
0.648839999999999,14.0,,
0.648869999999999,15.0,,
0.648869999999999,15.0,,
0.648869999999999,14.0,,
0.648869999999999,14.0,,
0.6489999999999989,15.0,,
0.6490299999999989,16.0,,
0.6490299999999989,16.0,,
0.6490299999999989,15.0,,
0.6490299999999989,15.0,,
0.6521299999999989,16.0,,
0.6521299999999989,16.0,,
0.6521299999999989,15.0,,
0.6521299999999989,15.0,,
0.6552299999999989,16.0,,
0.6552299999999989,16.0,,
0.6552299999999989,15.0,,
0.6552299999999989,15.0,,
0.6583299999999989,16.0,,
0.6583299999999989,16.0,,
0.6583299999999989,15.0,,
0.6583299999999989,15.0,,
0.6614299999999989,16.0,,
0.6614299999999989,16.0,,
0.6614299999999989,15.0,,
0.6614299999999989,15.0,,
0.6645299999999988,16.0,,
0.6645299999999988,16.0,,
0.6645299999999988,15.0,,
0.6645299999999988,15.0,,
0.6676299999999988,16.0,,
0.6676299999999988,16.0,,
0.6676299999999988,15.0,,
0.6676299999999988,15.0,,
0.6707299999999988,16.0,,
0.6707299999999988,16.0,,
0.6707299999999988,15.0,,
0.6707299999999988,15.0,,
0.6738299999999988,16.0,,
0.6738299999999988,16.0,,
0.6738299999999988,15.0,,
0.6738299999999988,15.0,,
0.6769299999999988,16.0,,
0.6769299999999988,16.0,,
0.6769299999999988,15.0,,
0.6769299999999988,15.0,,
0.6800299999999988,16.0,,
0.6800299999999988,16.0,,
0.6800299999999988,15.0,,
0.6800299999999988,15.0,,
0.6831299999999988,16.0,,
